conversation_id_str;created_at;full_text;category;jenis_program
1,79621E+18;Thu May 30 16:00:23 +0000 2024;tadi sore nonton berita kemenlu bilang 🇵🇸 aman kalo dewan keamanan pbb yg gerak aliass dk pbb bnrn gaada turun tangan lagi gitu stlh yg dulu itu cuma kasih bantuan sosial hfft;0;Program Bantuan Sosial (Bansos)
1,79621E+18;Thu May 30 15:42:24 +0000 2024;ELAH LUPA AH. pokoknya jadilah orang baik selagi kita hidup di dunia. kamu mau mikir ah gua ga butuh bantuan manusia lain bodoamat. bisa sendiri. apa iya? kenapa yakin banget gitu ya padahal udah kodrat manusia adalah makhluk sosial.;1;Program Bantuan Sosial (Bansos)
1,7962E+18;Thu May 30 15:17:44 +0000 2024;Tegas PM Anwar langkah itu sekali gus dapat membawa kepada anjakan daripada pendekatan bantuan sosial yang berasaskan kebajikan kepada perlindungan risiko mengikut kitaran hidup rakyat Malaysia. #MalaysiaMADANI https://t.co/m871dUKUff;1;Program Bantuan Sosial (Bansos)
1,79619E+18;Thu May 30 15:00:21 +0000 2024;**Rapat Kesiapan Pelaksanaan Verifikasi Penerima Bantuan Sosial dan Graduasi KPM PKH** #Dinsosacehsingkil #pkh #tksk #saktipeksos https://t.co/SlS3yud4lf;1;Program Bantuan Sosial (Bansos)
1,79613E+18;Thu May 30 14:19:36 +0000 2024;@5teV3n_Pe9eL Mumpung bapaknya masih punya kekuatan ilmu nyirep rakyat (ilmu bansos). Ini bisa terjadi krn kesalahan partainya wong cilik. Wong cilik membutuhkan bantuan sosial Wong cilik suruh milih makan gratis apa pendidikan gratis? Bisa dilihat jawaba;0;Program Bantuan Sosial (Bansos)
1,79613E+18;Thu May 30 11:01:00 +0000 2024;Kamis 30 Mei 2024. Distribusi Bantuan Sosial Cadangan Bantuan Pangan Pemerintah (CBP) Tahun 2024 untuk Keluarga Penerima Manfaat di Kelurahan Lebakgede Kecamatan Coblong Kota Bandung. https://t.co/3KEujUxn5m;1;Program Bantuan Sosial (Bansos)
1,79612E+18;Thu May 30 09:59:57 +0000 2024;Ayo cari tahu lebih lanjut realisasi Program Belanja Bantuan Sosial Permakanan Lansia Tunggal bersama Amah M dan anggota keluarga lainnya! Konten terinspirasi dari film How to Make Millions Before Grandma Dies. #DJPbHAnDAL #BansosLansia #HLUN #HariLanjutUsiaNasional #HLUN2024 https://t.co/dk9Fg6Nq5a;1;Program Bantuan Sosial (Bansos)
1,79612E+18;Thu May 30 09:59:57 +0000 2024;Salah satu perwujudannya adalah Program Belanja Bantuan Sosial Permakanan Lansia Tunggal yang disalurkan oleh @kppnjakarta7 melalui @DITJEN_REHSOS @KemensosRI;1;Program Bantuan Sosial (Bansos)
1,7961E+18;Thu May 30 08:25:03 +0000 2024;Merespon bencana banjir bandang yang menggenangi daerah Demak Perumnas @infoperumnas melalui Program Tanggung Jawab Sosial dan Lingkungan beserta Proyek Semarang #PerumnasTanggapBencanaBanjir berangkat ke lokasi bencana untuk memberikan serta menyalurkan bantuan https://t.co/6pEzLATBkM;1;Program Bantuan Sosial (Bansos)
1,79609E+18;Thu May 30 07:55:16 +0000 2024;Dalam rangka memperingati Hari Ulang Tahun (HUT) Bhayangkara ke-78 Jajaran Polda Sumsel Polrestabes Palembang sampai dengan tingkat Polsek salah satunya Polsek Kalidoni menggelar kegiatan sosial berupa pemberian bantuan sembako kepada warga yang membutuhkan. @divisihumaspolri https://t.co/jopEVIKebG;1;Program Bantuan Sosial (Bansos)
1,79602E+18;Thu May 30 03:32:21 +0000 2024;Malang - Klien Bapas Malang Kanwil Kemenkumham Jatim telah menerima bantuan dari Sentra Terpadu Prof. Dr. Soeharso Surakarta Kementerian Sosial pada Rabu (29/5). Bantuan tersebut diberikan kepada Klien melalui LKSA Robbani yang merupakan salah satu Pokmas Lipas Bapas Malang. https://t.co/6KYcdCwGzn;1;Program Bantuan Sosial (Bansos)
1,79602E+18;Thu May 30 03:27:45 +0000 2024;Cara Mendapatkan Layanan Bantuan Sosial Kesehatan (Bansoskes) ;1;Program Bantuan Sosial (Bansos)
1,79601E+18;Thu May 30 02:40:24 +0000 2024;Paska Insiden Kakak Beradik Bunuh Diri Dinas Sosial Buleleng Rilis Bantuan untuk Anak-AnakYatim Piatu https://t.co/noJW66W5Gm;1;Program Bantuan Sosial (Bansos)
1,79598E+18;Thu May 30 02:07:52 +0000 2024;kalo dari artikel di atas saat ini emang ada tiga program sosial dari pemerintah -Program Keluarga Harapan (PKH) -Bantuan Pangan Non Tunai (BPNT) - Bantuan Bertujuan Lanjut Usia (BanTu LU) tapi yg spesifik ke lansia cm satu cakupannya pun kecil dan ga tepat sasaran;0;Program Bantuan Sosial (Bansos)
1,79598E+18;Thu May 30 01:04:27 +0000 2024;Polri Peduli Sesama Polsek Kapuas Hulu Door To Door Berikan Bantuan Sosial Untuk Warga Kurang Mampu https://t.co/DAfFRZBsD4;1;Program Bantuan Sosial (Bansos)
1,79565E+18;Wed May 29 23:07:49 +0000 2024;@RadioElshinta pencuri ini bikin kesel banget tapi yg mukulin sampe babak belur pasti g bakal mukulin koruptor sampe babak belur apalagi klo koruptornya rajin keluarin shodaqoh bantuan sosial atau sejenisnya;0;Program Bantuan Sosial (Bansos)
1,79589E+18;Wed May 29 18:30:00 +0000 2024;Kementerian Sosial serahkan bantuan senilai 2 6 milyar di Kecamatan Meurah Mulia https://t.co/mmV4cxfVAN;1;Program Bantuan Sosial (Bansos)
1,79586E+18;Wed May 29 16:34:21 +0000 2024;Babinsa Kebonagung pada hari Rabu 29 Mei 2024 mulai Pkl. 07.30 Wib s/d 14.00 Wib melaksanakan giat pendampingan dan pengamanan pembagian beras bantuan sosial dengan jumlah 762 KPM (Keluarga Penerima Manfaat) dengan berat 10 kg per karung di GOR Kalurahan Kebonagung Imogiri;1;Program Bantuan Sosial (Bansos)
1,79582E+18;Wed May 29 14:17:55 +0000 2024;Klo di negri ini koruptornya di hukum mati jangankan tapera yg cuma 3% pajak nyampe 50% saja warganya bisa jadi rela Karena tau uang yang terkumpul akan dikembalikan ke rakyat dalam bentuk jaminan sosial bukan bantuan sosial Apalagi klo cuma dijadikan bancakan para penguasa;0;Program Bantuan Sosial (Bansos)
