conversation_id_str;created_at;full_text;category;jenis_program
1,79621E+18;Thu May 30 16:00:23 +0000 2024;tadi sore nonton berita kemenlu bilang 🇵🇸 aman kalo dewan keamanan pbb yg gerak aliass dk pbb bnrn gaada turun tangan lagi gitu stlh yg dulu itu cuma kasih bantuan sosial hfft;1;Bantuan Langsung Tunai (BLT)
1,79621E+18;Thu May 30 15:42:24 +0000 2024;ELAH LUPA AH. pokoknya jadilah orang baik selagi kita hidup di dunia. kamu mau mikir ah gua ga butuh bantuan manusia lain bodoamat. bisa sendiri. apa iya? kenapa yakin banget gitu ya padahal udah kodrat manusia adalah makhluk sosial.;1;Bantuan Langsung Tunai (BLT)
1,7962E+18;Thu May 30 15:17:44 +0000 2024;Tegas PM Anwar langkah itu sekali gus dapat membawa kepada anjakan daripada pendekatan bantuan sosial yang berasaskan kebajikan kepada perlindungan risiko mengikut kitaran hidup rakyat Malaysia. #MalaysiaMADANI https://t.co/m871dUKUff;1;Bantuan Langsung Tunai (BLT)
1,7962E+18;Thu May 30 15:07:00 +0000 2024;Gubernur Kepulauan Riau H. Ansar Ahmad menyerahkan bantuan sosial untuk korban bencana angin puting beliung dan kebakaran di Kabupaten Karimun secara simbolis di Gedung Serbaguna Nilamsari Kantor Bupati Karimun. Baca Selengkapnya di https://t.co/vCFcFoE8Aw https://t.co/B9LLoPtqql;1;Bantuan Langsung Tunai (BLT)
1,79619E+18;Thu May 30 15:00:21 +0000 2024;**Rapat Kesiapan Pelaksanaan Verifikasi Penerima Bantuan Sosial dan Graduasi KPM PKH** #Dinsosacehsingkil #pkh #tksk #saktipeksos https://t.co/SlS3yud4lf;1;Bantuan Langsung Tunai (BLT)
1,79619E+18;Thu May 30 14:52:04 +0000 2024; Melalui kegiatan Sosialisasi Penetapan CPB dan Toko Material Bantuan Sosial RUTILAHU di Kelurahan Selabatu kita bersama-sama membangun harapan baru. Bersama untuk kesejahteraan bersama untuk masa depan yang lebih baik! https://t.co/zLzxBkW9eF;1;Bantuan Langsung Tunai (BLT)
1,79613E+18;Thu May 30 14:19:36 +0000 2024;@5teV3n_Pe9eL Mumpung bapaknya masih punya kekuatan ilmu nyirep rakyat (ilmu bansos). Ini bisa terjadi krn kesalahan partainya wong cilik. Wong cilik membutuhkan bantuan sosial Wong cilik suruh milih makan gratis apa pendidikan gratis? Bisa dilihat jawaba;1;Bantuan Langsung Tunai (BLT)
1,79614E+18;Thu May 30 11:37:53 +0000 2024;Babinsa Kalurahan Bangunjiwo Koramil 03/ Kasihan Sertu Nur Wahyudi melaksanakan pendampingan dan pengamanan pembagian beras bantuan sosial dengan jumlah *2304 KPM (Keluarga Penerima Manfaat)* dengan berat @10kg. Di pendopo Kalurahan Bangunjiwo Kasihan. https://t.co/JnbwCGhndm;1;Bantuan Langsung Tunai (BLT)
1,79613E+18;Thu May 30 11:01:00 +0000 2024;Kamis 30 Mei 2024. Distribusi Bantuan Sosial Cadangan Bantuan Pangan Pemerintah (CBP) Tahun 2024 untuk Keluarga Penerima Manfaat di Kelurahan Lebakgede Kecamatan Coblong Kota Bandung. https://t.co/3KEujUxn5m;1;Bantuan Langsung Tunai (BLT)
1,79612E+18;Thu May 30 09:59:57 +0000 2024;Ayo cari tahu lebih lanjut realisasi Program Belanja Bantuan Sosial Permakanan Lansia Tunggal bersama Amah M dan anggota keluarga lainnya! Konten terinspirasi dari film How to Make Millions Before Grandma Dies. #DJPbHAnDAL #BansosLansia #HLUN #HariLanjutUsiaNasional #HLUN2024 https://t.co/dk9Fg6Nq5a;1;Bantuan Langsung Tunai (BLT)
1,79612E+18;Thu May 30 09:59:57 +0000 2024;Salah satu perwujudannya adalah Program Belanja Bantuan Sosial Permakanan Lansia Tunggal yang disalurkan oleh @kppnjakarta7 melalui @DITJEN_REHSOS @KemensosRI;1;Bantuan Langsung Tunai (BLT)
1,79611E+18;Thu May 30 09:21:27 +0000 2024;Sugiri Sign Language (Bahasa Isyarat Sugiri) itu sempat diperagakan saat acara bakti sosial (baksos) yang menyasar empat kecamatan di Ponorogo Rabu (29/5/2024). Selengkapnya : https://t.co/7CqKC1QF4q #ponorogoHEBAT #ponorogokab #baksos #baktisosial #bantuan #sosial #sembako https://t.co/ZvhE1sfteI;1;Bantuan Langsung Tunai (BLT)
