conversation_id_str;created_at;full_text;category;jenis_program
1,75221E+18;Tue May 14 12:07:54 +0000 2024;Pak Ganjar menjadi harapan baru untuk mengubah nasib keluarga miskin dengan program 1 Keluarga Miskin 1 Sarjana. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @hadellaap #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/4T5ce5lVQB;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Tue May 14 11:32:42 +0000 2024;Serius banget nih Ganjar-Mahfud ada program 1 Keluarga Miskin 1 Sarjana Bikin harapan beneran jadi nyata. Tiga Kali Lebih Sejahtera Untuk Indonesia Hebat! @upilesi #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/7s3KECIRXT;1.0;Program Keluarga Harapan (PKH)
1,75221E+18;Tue May 14 10:00:00 +0000 2024;Mahasiswa Papua kini memiliki harapan baru dengan program 1 keluarga miskin 1 sarjana membuktikan keberhasilan visi Ganjar - Mahfud untuk mencapai kesejahteraan bersama. @Rizkyy36643910 #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/zknInKjae1;1.0;Program Keluarga Harapan (PKH)
1,75226E+18;Tue May 14 09:56:43 +0000 2024;Jaga Situasi Tetap Kondusif Pawas Ipda Gede Gumiliarta pimpin pengamanan dan pemantauan penyaluran Bansos MRP (Mitigasi Rawan Pangan) dan Bantuan PKH (Program Keluarga Harapan) kepada warga masyarakat yang kurang mampu bertempat di kantor Pos Bangli Sabtu (24/02/2024). https://t.co/XJkppusUN6;1.0;Program Keluarga Harapan (PKH)
1,75415E+18;Tue May 14 09:29:12 +0000 2024;Ganjar - Mahfud adalah pelindung harapan membuka pintu kebahagiaan untuk setiap keluarga miskin di Papua melalui program 1 Keluarga Miskin 1 Sarjana. @Roka87652001 #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/TNylWwneHg;1.0;Program Keluarga Harapan (PKH)
1,78489E+18;Tue May 14 09:00:27 +0000 2024;Ganjar-Mahfud menjadi harapan bagi keluarga miskin melalui program 1 Keluarga Miskin 1 Sarjana. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @Jvsttt #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/IjY6R5btbB;1.0;Program Keluarga Harapan (PKH)
1,75485E+18;Tue May 14 08:55:09 +0000 2024;Ganjar - Mahfud memberikan harapan baru dengan meluncurkan program 1 Keluarga Miskin 1 Sarjana menggugah semangat dan harapan bagi rakyat Papua @sandycrussade #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/5HHB28aHBm;1.0;Program Keluarga Harapan (PKH)
1,77698E+18;Tue May 14 08:29:27 +0000 2024;Program 'ibu sehat anak sehat' ini menciptakan harapan baru bagi setiap keluarga Indonesia Semoga langkah ini menginspirasi daerah lain . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @agilavanza13 #GanjarMahfud2024 #GanjarPresidenRakyat #Coblos3 https://t.co/aLgSuhcLSH;1.0;Program Keluarga Harapan (PKH)
1,75219E+18;Tue May 14 08:10:31 +0000 2024;Pemaparan bu Risma. Bansos ada 2 jenis (Program Keluarga Harapan dan Sembako) Bansos ini diberikan kepada KPM (Keluarga Penerima Manfaat) secara non tunai ditransfer langsung ke rekening KPM. Tentang bansos yg diberikan secara langsung oleh Presiden dn para Menteri blm terjawab. https://t.co/qeCkvuntMK;0.0;Program Keluarga Harapan (PKH)
1,75426E+18;Tue May 14 07:14:25 +0000 2024;@PemiluRuwet2024 @sikendie Makanya byk in info bro 497 T itu keseluruhan untuk program perlinsos yg didalamnya ada bansos termasuk subsidi BBM listrik gas kartu pinter keluarga harapan dll paham gak.!;0.0;Program Keluarga Harapan (PKH)
