conversation_id_str;created_at;full_text;category;jenis_program
1,79906E+18;Fri Jun 07 12:26:37 +0000 2024;*Satgassus Pencegahan Korupsi Polri Lakukan Pendampingan Penyaluran BPNT* Jatim Polri melalui Satgassus Pencegahan Korupsi melakukan pendampingan kepada Kementerian Sosial dalam penyaluran Bantuan Sembako/BPNT dan Program Keluarga Harapan (PKH) di Kabupaten Lamongan. . https://t.co/HbMUUa9K5M;1;Program Sembako
1,79904E+18;Fri Jun 07 11:32:35 +0000 2024;POLRI melalui Satuan Tugas Khusus (Satgassus) Pencegahan Korupsi mengawasi penyaluran bantuan sembako atau bantuan pangan non tunai (BPNT) dan Program Keluarga Harapan (PKH) dari Kementerian Sosial (Kemensos) di Kabupaten Lamongan Jawa Timur. https://t.co/eJ5OTnb2cc;1;Program Sembako
1,79902E+18;Fri Jun 07 09:52:55 +0000 2024;Polri melalui Satgassus Pencegahan Korupsi melakukan pendampingan kepada Kementerian Sosial dalam penyaluran Bantuan Sembako/BPNT dan Program Keluarga Harapan (PKH) di Kabupaten Lamongan. Hal itu juga sebagai bentuk pengawasan. https://t.co/Wsp2WkviAT;1;Program Sembako
1,79809E+18;Fri Jun 07 08:25:27 +0000 2024;@Maudy_Apain @aewin86 Harga Sembako naik Listrik akan naik BBM juga PPH dll.Biaya sekolah n kuliah belum cicilan ini itu. Darimana sensibilitasnya tu program di launching dipaksain wajib memotong gaji tiap orang? Banyak yg nanya.. Beneran utk Rumah rakyat;0;Program Sembako
1,79892E+18;Fri Jun 07 06:43:01 +0000 2024;@dondihananto Bukannya cm sembako sih. Program bapaknya sempet menyentuh masyarakat dngn selogan Gerbangdayaku . Daerah lain blm ada sekolah gratis di Kukar dh pd gratis sekolah2. Blm ada dana desa jalan kampung / gang semua di cor. Disisi lain tambang ba;0;Program Sembako
1,79894E+18;Fri Jun 07 05:05:46 +0000 2024;Karyawan Pedagang Dan Pemulung Di beri Bantuan Sembako Dari Program Siger Oleh Ibu Riana Sari Arinal Di Sekitar Kediaman Gubernur Lampung https://t.co/VwJxEb7Ny3;1;Program Sembako
1,79893E+18;Fri Jun 07 04:14:23 +0000 2024;Ibu Riana Sari Arinal Beri Bantuan Sembako Dari Program Siger kepada Karyawan Toko Pedagang Dan Pemulung Di Sekitar Kediaman Gubernur Lampung https://t.co/h7r6sLDYZi;1;Program Sembako
1,79888E+18;Fri Jun 07 00:42:56 +0000 2024;*Melalui Program Jumat Berkah Batalyon A Brimob Kaltim Bagikan Sembako Kepada Warga Kurang Mampu* https://t.co/SwAP2Lip9n;1;Program Sembako
1,79865E+18;Thu Jun 06 09:34:26 +0000 2024;Memasuki musim kemarau Pemerintah memgambil langkah-langkah antisipatif guna mencegah terjadinya inflasi pangan. Di antaranya melalui program bantuan pangan dan bantuan sosial lainnya seperti penyaluran sembako dan penyaluran bantu #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/H1l37jY2HS;1;Program Sembako
1,79865E+18;Thu Jun 06 09:32:03 +0000 2024;Di antaranya melalui program bantuan pangan dan bantuan sosial lainnya seperti penyaluran sembako dan penyaluran bantuan langsung tunai (BLT) kepada kelompok penerima manfaat. #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/MuXNFZ6wyB;1;Program Sembako
1,79865E+18;Thu Jun 06 09:29:35 +0000 2024;Menghadapi musim kemarau pemerintah mencegah inflasi pangan dengan program bantuan pangan dan sosial. Penyaluran sembako dan BLT dilakukan kepada penerima manfaat. #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/RGecNjW5vx;1;Program Sembako
1,79865E+18;Thu Jun 06 09:28:39 +0000 2024;Pemerintah mengambil langkah antisipatif jelang musim kemarau untuk mencegah inflasi pangan. Program bantuan pangan dan sosial seperti penyaluran sembako dan BLT diberikan kepada kelompok penerima manfaat. #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/53K49me5mt;1;Program Sembako
1,79865E+18;Thu Jun 06 09:24:10 +0000 2024;Memasuki musim kemarau Pemerintah memgambil langkah-langkah antisipatif guna mencegah terjadinya inflasi pangan. Di antaranya melalui program bantuan pangan dan bantuan sosial lainnya seperti penyaluran sembako dan penyaluran bantuan langsung tunai (BLT) https://t.co/RpxYa7zRHX;1;Program Sembako
1,79863E+18;Thu Jun 06 08:27:27 +0000 2024;Melalui program bantuan pangan dan bantuan sosial seperti penyaluran sembako dan BLT Pemerintah berusaha membantu kelompok penerima manfaat agar kebutuhan pokok mereka tetap terpenuhi. #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/wpw6HY3tZx;1;Program Sembako
1,79863E+18;Thu Jun 06 08:21:54 +0000 2024;Di antaranya melalui program bantuan pangan dan bantuan sosial lainnya seperti penyaluran sembako dan penyaluran bantuan langsung tunai (BLT) kepada kelompok penerima manfaat. #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/3WcppGn2YU;1;Program Sembako
1,79863E+18;Thu Jun 06 08:14:54 +0000 2024;Dukung Program Pemerintah Anggota Koramil 01/Lut Tawar Dampingi Pasar Murah Takengon- Anggota Koramil 01/LT melaksanakan pendampingan dan monitoring operasi pasar murah berupa sembako yang di gelar oleh Pemerintah Kabupaten Aceh Tengah yang berlokasi di depan Kantor camat https://t.co/ZAVNS4uXYd;1;Program Sembako
1,79861E+18;Thu Jun 06 06:49:05 +0000 2024;BPK ungkap Anggaran bantuan sosial untuk program keluarga harapan (KPM) dan sembako tidak bertransaksi atau tidak tersalurkan sebesar Rp 227 43 miliar belum dikembalikan ke kas negara. Mungkin ada yg tahu kemana dana tersebut ?? Konoha Amburadul ditangan Mukidi ! https://t.co/MLXhWUQ5bv;0;Program Sembako
1,79861E+18;Thu Jun 06 06:42:14 +0000 2024;Program bantuan pangan dan bantuan sosial lainnya seperti penyaluran sembako dan penyaluran bantuan langsung tunai (BLT) kepada kelompok penerima manfaat #Pangan #BantuanSosial #Ekonomi #Perekonomian https://t.co/g1XbWGzvYC;1;Program Sembako
